run_id,scenario_id,level,plant,tier,truth_label,admissible_set,admissible_set_sensitivity,n_admissible,chance_rate,none_admissible,truth_admissible,truth_representable,truth_class_limited,best_label,n_samples,simulations_pair,wall_s,pair_wall_s,delta_none,failed_none,delta_sensor,failed_sensor,delta_influent,failed_influent,delta_state,failed_state,delta_parameter,failed_parameter,delta_structural,failed_structural
run_13ba3147ca82,S0-01,0,B,A,none,none,none,1,0.16666666666666666,True,True,True,,none,252,0,0.3,0.4,0.0,0,13.296383735042554,0,18.269194350669437,0,10.538067936755539,0,10.500174453015944,0,54.79766219273034,0
run_d233c4c46286,S0-01,0,B,B,none,none,none+parameter,1,0.16666666666666666,True,True,True,,none,502,0,0.8,1.3,0.0,0,14.36315959368227,0,23.360565855738855,0,13.057982800694106,0,9.73124012976433,0,178.3070135092658,0
run_2e5a6407a4a8,S0-01,0,B,C,none,none,none,1,0.16666666666666666,True,True,True,,none,799,0,0.6,1.9,0.0,0,14.037780908862715,0,27.50213083468236,0,263.3380750724157,0,12.254018142089876,0,240.1181466045714,0
run_94b14d8d3867,S0-01,0,C,A,none,none,none+parameter,1,0.16666666666666666,True,True,True,,none,241,0,0.2,0.3,0.0,0,14.177116050535318,0,12.968878742580074,0,106.11986518344796,0,8.634150813515163,0,89.26836753640978,0
run_ee42c5f77049,S0-01,0,C,B,none,none,none+parameter,1,0.16666666666666666,True,True,True,,none,500,0,0.5,0.8,0.0,0,12.883326810272933,0,16.9432760314711,0,118.31718521631547,0,8.68344622758525,0,214.3369971013865,0
run_c02812e9e0d8,S0-01,0,C,C,none,none,none,1,0.16666666666666666,True,True,True,,none,789,0,0.7,1.5,0.0,0,12.058172498193017,0,18.172476909850616,0,433.5964069941606,0,11.11509403380046,0,546.0888480241874,0
run_9ff9c9911042,S2-02,2,C,A,sensor,none,none+parameter,1,0.3333333333333333,True,False,True,,none,255,0,0.3,0.4,0.0,0,10.285512235309454,0,10.27385804730875,0,64.28213529233045,0,3.07409864514932,0,81.3070917937111,0
run_08251241ddb6,S2-02,2,C,B,sensor,sensor,sensor,1,0.16666666666666666,False,True,True,,sensor,496,0,0.5,0.9,65.32129053854578,0,0.0,0,88.42041846329641,0,169.16593263097457,0,71.79635027092638,0,291.79619002264667,0
run_f36d06ef1eb6,S2-02,2,C,C,sensor,sensor,sensor,1,0.16666666666666666,False,True,True,,sensor,788,0,0.8,1.7,64.23568428083729,0,0.0,0,88.08198638387023,0,485.53919669285153,0,75.16405211634458,0,728.8344514046713,0
run_5f394dd548b0,S2-03,2,C,A,sensor,sensor,sensor,1,0.16666666666666666,False,True,True,,sensor,256,0,0.4,0.5,1009.1971634880404,0,0.0,0,290.0571036704985,0,1029.0982322407745,0,971.7951739186476,0,1082.8604137044592,0
run_f0a8e95a1823,S2-03,2,C,B,sensor,sensor,sensor,1,0.16666666666666666,False,True,True,,sensor,495,0,0.6,1.1,1089.656218027591,0,0.0,0,375.8268897638742,0,1130.3501771018957,0,1050.225782278192,0,1314.8227850667297,0
run_af225cc81c23,S2-03,2,C,C,sensor,sensor,sensor,1,0.16666666666666666,False,True,True,,sensor,792,0,0.7,1.9,1147.1261894504555,0,0.0,0,443.5814017763046,0,1553.8246788224344,0,1102.671697062133,0,1844.571407002574,0
run_b23978401022,S5-01,5,A,A,parameter,parameter,parameter,1,0.16666666666666666,False,True,True,,parameter,490,0,78.4,78.5,7499.907171937384,0,6213.15571070113,0,7008.172869637269,0,7499.812932397024,0,0.0,0,7397.86895506126,0
run_6d1a9aab4239,S5-01,5,A,B,parameter,parameter,parameter,1,0.16666666666666666,False,True,True,,parameter,913,0,107.2,185.7,10562.977716311663,0,8434.41507839943,0,10222.192761186718,0,10574.087806128742,0,0.0,0,10625.610385572692,0
run_4d7b1e0e24ae,S5-01,5,A,C,parameter,parameter,parameter,1,0.16666666666666666,False,True,True,,parameter,1447,0,197.9,383.6,33368328.73978773,0,11688.938382636568,0,30170500.679647997,0,33360904.86446286,0,0.0,0,16711968.240238076,0
run_39966e849a09,S5-02,5,B,A,parameter,none,none+state,1,0.3333333333333333,True,False,True,,none,266,0,0.4,0.5,0.0,0,11.695121190403768,0,11.587443751740807,0,8.60278117487968,0,10.042591300784864,0,64.25722349601523,0
run_08cd03f72b5e,S5-02,5,B,B,parameter,none,none+parameter,1,0.3333333333333333,True,False,True,,none,508,0,0.6,1.1,0.0,0,12.916511435547477,0,10.807462768966388,0,21.723866784309507,0,8.113240569856771,0,172.59309068300718,0
run_60d4110ed02f,S5-02,5,B,C,parameter,none,none,1,0.3333333333333333,True,False,True,,none,795,0,0.6,1.7,0.0,0,14.003297340404515,0,11.935939715399172,0,246.99868055993863,0,11.154268976737171,0,370.7339704266195,0
run_a17461b8df82,S5-02,5,C,A,parameter,none,none+parameter,1,0.3333333333333333,True,False,True,,none,262,0,0.3,0.4,0.0,0,12.568238947275574,0,23.981749529098124,0,23.854855303924126,0,3.860943907362696,0,48.7721156727269,0
run_566d0eb4ce79,S5-02,5,C,B,parameter,none,none+parameter,1,0.3333333333333333,True,False,True,,none,507,0,0.7,1.1,0.0,0,10.533056739993526,0,31.98489789593509,0,33.66310247140484,0,4.146088471660562,0,116.90997861973062,0
run_55999fdbabfd,S5-02,5,C,C,parameter,none,none+parameter,1,0.3333333333333333,True,False,True,,none,800,0,0.7,1.8,0.0,0,11.216144456620896,0,27.42000809952981,0,411.72212880329516,0,9.274973278589528,0,408.2914289347623,0
