run_id,scenario_id,level,plant,tier,truth_label,final_label,label_match,secondary_labels,flag_sensor,correct_flag_sensor,completed,wall_s,wall_clock_min_budget,evals_used,evals_budget,assay_units_used,assay_units_budget,n_calls,interval_method,approved,abstentions,fallbacks,tool_failures,error,recovery
run_11ac98e2d85e,S2-01,2,B,B,sensor,none,False,,,ph,True,4283.245,90.0,337,450,2,2,29,fisher,Y_ac+k_dec_X_ac+Y_h2,missing_transient+posterior_intervals,0,bayes_mcmc:not_converged,,Y_ac:0.836/1.000/in Y_h2:0.833/1.000/in k_dec_X_ac:0.780/1.000/in
run_1ba2f744efd5,S1-01,1,B,B,none,none,True,,,,True,4338.543,90.0,349,450,2,2,29,fisher,Y_ac+k_dec_X_ac+Y_h2,missing_transient+posterior_intervals,0,bayes_mcmc:not_converged,,Y_ac:0.500/1.000/in Y_h2:0.500/1.000/in k_dec_X_ac:0.536/1.000/in
run_2abb4e284afd,S0-01,0,B,B,none,none,True,,,,True,4134.648,90.0,323,450,2,2,29,fisher,Y_ac+k_dec_X_ac,missing_transient+posterior_intervals,0,bayes_mcmc:not_converged,,Y_ac:1.052/1.000/in k_dec_X_ac:0.885/1.000/in
run_4b5de4e54cfc,S4-01,4,B,B,state,none,False,,,,True,4317.507,120.0,335,600,3,4,30,fisher,Y_ac+k_dec_X_ac,missing_transient+posterior_intervals,0,bayes_mcmc:not_converged,,Y_ac:0.504/1.000/out k_dec_X_ac:0.872/1.000/in
run_78655d89986f,S8-01,8,B,B,sensor,none,False,,,gas_flow,True,3228.524,150.0,250,750,3,6,30,fisher,Y_ac+k_dec_X_ac,missing_transient+posterior_intervals,0,bayes_mcmc:not_converged,,
run_86360576b9b8,S0-01,0,B,C,none,none,True,,,,True,3897.34,90.0,307,450,2,2,35,fisher,k_m_h2+Y_ac+k_m_pro+Y_h2,missing_transient+posterior_intervals,1,,,Y_ac:1.126/1.000/out Y_h2:1.427/1.000/in k_m_h2:0.809/1.000/in k_m_pro:1.108/1.000/out
run_aa16afbf2a3f,S6-02,6,B,B,structural,none,False,,,,True,4324.568,150.0,350,750,3,6,30,fisher,Y_ac+k_dec_X_ac+Y_h2,missing_transient+posterior_intervals,0,bayes_mcmc:not_converged,,
run_b1ef0a45fc65,S3-01,3,C,B,influent,none,False,,,,True,4116.167,120.0,329,600,3,4,30,fisher,Y_ac+k_m_ac,missing_transient+posterior_intervals,0,bayes_mcmc:not_converged,,Y_ac:1.500/1.000/in k_m_ac:0.348/1.000/out
run_cc191af5d5e5,S0-01,0,B,A,none,none,True,,,,True,3463.136,90.0,271,450,2,2,24,fisher,Y_ac+Y_h2,missing_transient+posterior_intervals,0,bayes_mcmc:not_converged,,Y_ac:0.500/1.000/out Y_h2:0.500/1.000/in
run_d4dec158a9d1,S5-01,5,A,A,parameter,parameter,True,,,,True,5567.022,120.0,243,300,3,4,24,fisher,Y_ac+Y_h2,posterior_intervals,1,,,Y_ac:0.805/1.000/in Y_h2:1.500/1.000/out
