run_id,workflow,scenario_id,level,plant,tier,seed,replicate,launched,completed,state_valid,returncode,runner_error,invalid_actions,budget_refusals,tool_errors,injected_failures,tool_failures_recorded,verifier_rejections,retries,fallbacks,guards_tripped,steps_completed,problems,truth_label,final_label,final_label_set,attribution_exact,attribution_partial,primary_in_truth,drift_applicable,false_kinetic_drift,kinetic_parameters_reported,kinetic_parameters_outside_prior,kinetic_update_offered,false_kinetic_update,abstain_on,abstention_applicable,abstention_correct,abstention_fraction,abstention_extra,abstention_precision,flag_sensor,correct_flag_sensor,flag_sensor_correct,claims,claims_unsupported,unsupported_claim_rate,forecast_verified,forecast_reason,forecast_window,interval_source,ensemble,constraint_violations,balance_verified,cod_closure_mean,cod_balance_error,n_cod_inadmissible,charge_drift,charge_consistent,recovery_scored,recovery_n,recovery_mean_abs_error,recovery_mean_rel_error,recovery_coverage,recovery_at_bound,recovery_detail,q_gas_stp_dry_mae,q_gas_stp_dry_rmse,q_gas_stp_dry_nrmse,q_gas_stp_dry_bias,q_gas_stp_dry_coverage_50,q_gas_stp_dry_coverage_90,q_gas_stp_dry_interval_score_90,q_gas_stp_dry_crps,q_gas_stp_dry_crps_posterior,ch4_fraction_mae,ch4_fraction_rmse,ch4_fraction_nrmse,ch4_fraction_bias,ch4_fraction_coverage_50,ch4_fraction_coverage_90,ch4_fraction_interval_score_90,ch4_fraction_crps,ch4_fraction_crps_posterior,pH_mae,pH_rmse,pH_nrmse,pH_bias,pH_coverage_50,pH_coverage_90,pH_interval_score_90,pH_crps,pH_crps_posterior,vfa_titrimetric_mae,vfa_titrimetric_rmse,vfa_titrimetric_nrmse,vfa_titrimetric_bias,vfa_titrimetric_coverage_50,vfa_titrimetric_coverage_90,vfa_titrimetric_interval_score_90,vfa_titrimetric_crps,vfa_titrimetric_crps_posterior,tan_mae,tan_rmse,tan_nrmse,tan_bias,tan_coverage_50,tan_coverage_90,tan_interval_score_90,tan_crps,tan_crps_posterior,simulator_evals,simulator_evals_budget,simulator_evals_fraction,assay_units,assay_units_budget,wall_clock_s,wall_clock_budget_min,wall_clock_fraction,log_span_s,tool_runtime_s,n_calls,tokens,cost_source,meter_agrees_with_summary,self_report_mismatch,uncertainty_reduction,uncertainty_reduction_per_assay_unit
run_b23978401022,p0,S5-01,5,A,A,1051,0,True,True,True,0,,0,0,0,0,0,0,2,1,0,11,,parameter,parameter,parameter,True,1,True,False,,0,,True,,,False,,,1,0,,,True,1,0,0,True,,"[273.75, 365]",fisher,True,0,True,,,0,,,True,2,0.347724,0.347724,0.5,0.5,Y_ac:0.805/1.000/in Y_h2:1.500/1.000/out,48.3086,60.5612,0.586091,7.42521,0.0697674,0.0813953,842.907,45.2234,,,,,,,,,,,0.13141,0.143868,2.31415,-0.13141,0,0,2.52115,0.129108,,,,,,,,,,,,,,,,,,,,243,300,0.81,3,4,6167.92,120,0.856656,6167.76,6163.77,24,,registry_meter,True,False,0.400259,0.13342
run_9cfe5c728fb2,p0,S2-01,2,B,B,1021,0,True,True,True,0,,0,0,0,0,0,0,3,1,1,11,,sensor,none,none,False,0,False,True,False,1,,True,True,,False,,,2,0,,ph,False,5,0,0,True,,"[150, 200]",fisher,True,0,True,-0.133676,0.133676,2,0.298339,False,True,3,0.183952,0.183952,1,0,Y_ac:0.836/1.000/in Y_h2:0.833/1.000/in k_dec_X_ac:0.780/1.000/in,830.061,1098.63,0.83885,-773.559,0,0.0212766,16001.9,818.563,,0.0118222,0.0139234,0.790012,0.00861944,0.130435,0.152174,0.202845,0.0109769,,0.182711,0.202581,2.52996,0.182711,0,0.0204082,3.46981,0.178962,,0.105555,0.116124,1.35407,0.0961106,0.166667,0.166667,1.26836,0.0847473,,0.136849,0.138686,4.32317,0.136849,0,0,2.10502,0.122865,,251,450,0.557778,2,2,3986.27,90,0.738198,3986.1,3985.25,28,,registry_meter,True,False,0,0
run_b34ba6f1fdfd,p0,S1-01,1,B,B,1011,0,True,True,True,0,,0,0,0,0,0,0,0,1,0,11,,none,none,none,True,1,True,True,False,1,,True,,,False,,,2,0,,,True,2,0,0,True,,"[150, 200]",fisher,True,0,True,-0.154043,0.154043,2,0.400544,False,True,3,0.488106,0.488106,1,0.666667,Y_ac:0.500/1.000/in Y_h2:0.500/1.000/in k_dec_X_ac:0.536/1.000/in,353.275,479.18,0.305102,-296.992,0.0217391,0.0652174,6590.53,343.751,,0.0194838,0.0238469,0.999827,-0.0117561,0,0.04,0.350853,0.0187269,,0.0616242,0.0765188,0.873614,-0.0190456,0.0217391,0.0652174,1.10058,0.0590115,,0.225633,0.289656,1.56831,0.0735204,0,0,3.98695,0.215644,,0.0521448,0.0616825,0.738835,-0.0333805,0.166667,0.333333,0.818266,0.0465455,,280,450,0.622222,2,2,4462.15,90,0.826325,4461.97,4461.29,28,,registry_meter,True,False,0.15562,0.0778098
run_c4c5a3f6adf1,p0,S6-02,6,B,B,1062,0,True,True,True,0,,0,0,0,0,1,0,0,0,0,12,,structural,none,none,False,0,False,True,False,1,,True,True,alkalinity_total_budget+inorganic_carbon_balance,True,False,0,2,0,,,True,4,0,0,True,,"[150, 200]",fisher,True,0,True,-0.0440698,0.0440698,0,0.441206,False,False,,,,,,,326.215,445.848,0.501491,-146.345,0.0217391,0.0217391,6117.55,317.389,,0.0113776,0.014103,0.709794,0.00762903,0.130435,0.152174,0.203974,0.0108857,,0.0274468,0.0325955,0.82334,-0.00720799,0.0638298,0.12766,0.428157,0.0250568,,0.0833808,0.0951437,1.05318,0.0166532,0.142857,0.285714,1.21312,0.0728078,,0.0731513,0.080562,0.870741,0.0650381,0,0.142857,1.01441,0.0630385,,350,750,0.466667,3,6,5405.38,150,0.600598,5405.2,5404.3,30,,registry_meter,True,False,0,0
run_66e9e17a8171,p0,S8-01,8,B,B,1081,0,True,True,True,0,,0,0,0,1,1,0,3,0,0,12,,sensor,none,none,False,0,False,True,False,1,,True,True,posterior_intervals,False,True,1,1,0.5,,gas_flow,False,4,0,0,True,,"[150, 200]",fisher,True,0,True,-0.12369,0.12369,1,0.514094,False,False,,,,,,,488.088,587.204,0.543519,-390.801,0,0,9388.86,480.004,,0.010524,0.0132188,0.63511,-0.00618272,0.0444444,0.177778,0.180727,0.00994188,,0.086009,0.105268,0.721454,-0.041954,0,0.0487805,1.62873,0.083974,,0.0436575,0.0623509,0.566245,0.00247259,0.285714,0.571429,0.673745,0.0400475,,0.0416662,0.048076,0.953132,-0.0416662,0,0,0.660177,0.0357773,,250,750,0.333333,3,6,4000.61,150,0.444512,4000.43,3999.73,30,,registry_meter,True,False,0.19583,0.0652766
run_badfd19ad874,p0,S3-01,3,C,B,1031,0,True,True,True,0,,0,0,0,0,1,0,2,0,0,12,,influent,none,none,False,0,False,True,True,1,k_m_ac,True,True,,False,,,2,0,,,True,5,0,0,True,,"[150, 200]",fisher,True,0,True,-0.0125485,0.0125485,0,0.321443,False,True,2,0.57577,0.57577,0.5,1,Y_ac:1.500/1.000/in k_m_ac:0.348/1.000/out,126.532,171.96,0.456364,5.89601,0,0.0222222,2417.91,123.964,,0.0115234,0.0139281,1.02708,-0.00405261,0.0232558,0.0232558,0.206124,0.0110737,,0.058625,0.0689226,1.1425,0.0277285,0,0,1.11524,0.0572038,,0.108162,0.120613,3.6022,0.108162,0,0,1.90042,0.103207,,0.0955751,0.108571,1.83916,0.0955751,0,0,1.77967,0.0916941,,329,600,0.548333,3,4,5058.57,120,0.70258,5058.39,5057.74,30,,registry_meter,True,False,0.667624,0.222541
run_1354d1f71117,p0,S4-01,4,B,B,1041,0,True,True,True,0,,0,0,0,0,1,0,2,0,0,12,,state,none,none,False,0,False,True,False,1,,True,True,,False,,,2,0,,,True,4,0,0,True,,"[150, 200]",fisher,True,0,True,-0.0256653,0.0256653,0,0.346422,False,True,2,0.312088,0.312088,0.5,0.5,Y_ac:0.504/1.000/out k_dec_X_ac:0.872/1.000/in,307.521,383.804,0.470026,146.95,0,0,5965.74,302.721,,0.0122211,0.0152582,0.855249,0.00590114,0.0666667,0.0666667,0.22696,0.0117142,,0.0908845,0.120257,1.56638,-0.0860306,0.0232558,0.0232558,1.7804,0.0898466,,0.0670587,0.0886917,0.999721,-0.062043,0.142857,0.142857,1.1295,0.0626916,,0.13967,0.152251,2.04782,-0.13967,0,0,2.723,0.138424,,335,600,0.558333,3,4,5272.18,120,0.732247,5272,5271.32,30,,registry_meter,True,False,0.4609,0.153633
run_13ba3147ca82,p0,S0-01,0,B,A,1001,0,True,True,True,0,,0,0,0,0,1,0,0,0,0,12,,none,none,none,True,1,True,True,False,0,,True,,,False,,,2,0,,,True,1,0,0,True,,"[150, 200]",fisher,True,0,True,,,0,,,True,2,0.5,0.5,0.5,1,Y_ac:0.500/1.000/out Y_h2:0.500/1.000/in,388.068,474.679,0.555094,-109.345,0.0212766,0.0425532,7267,376.352,,,,,,,,,,,0.067415,0.0732486,1.99263,0.0665798,0,0.0454545,1.20533,0.0647007,,,,,,,,,,,,,,,,,,,,271,450,0.602222,2,2,4308.99,90,0.797961,4308.81,4308.13,24,,registry_meter,True,False,0.466346,0.233173
run_d233c4c46286,p0,S0-01,0,B,B,1001,0,True,True,True,0,,0,0,0,0,0,0,1,1,1,11,,none,none,none,True,1,True,True,False,1,,True,,,False,,,2,0,,,True,4,0,0,True,,"[150, 200]",fisher,True,0,True,-0.100018,0.100018,2,0.225954,False,True,2,0.0837004,0.0837004,1,0,Y_ac:1.052/1.000/in k_dec_X_ac:0.885/1.000/in,381.319,471.668,0.548167,-166.188,0.02,0.02,6899.09,362.916,,0.0137942,0.0167318,1.21411,-0.0124539,0.0425532,0.0851064,0.254836,0.0132849,,0.0360757,0.0449417,1.11917,0.014794,0.0625,0.0625,0.596073,0.0330805,,0.0809532,0.0962598,2.47093,0.0809532,0.142857,0.285714,0.974719,0.0649587,,0.117472,0.123629,1.14786,0.117472,0,0,1.56066,0.0988907,,235,450,0.522222,2,2,3785.32,90,0.700985,3785.14,3784.41,28,,registry_meter,True,False,0,0
run_2e5a6407a4a8,p0,S0-01,0,B,C,1001,0,True,True,True,0,,0,0,0,0,0,0,0,1,0,11,,none,none,none,True,1,True,True,False,2,,True,,,False,,,2,0,,,True,2,0,0,True,,"[150, 200]",fisher,True,0,True,-0.104039,0.104039,2,0.276379,False,True,4,0.212977,0.212977,0.5,0,Y_ac:1.126/1.000/out Y_h2:1.427/1.000/in k_m_h2:0.809/1.000/in k_m_pro:1.108/1.000/out,385.129,479.06,0.55581,-202.022,0,0,7436.09,379.622,,0.0128189,0.0157367,1.14629,-0.0110492,0.0204082,0.0204082,0.251522,0.0126959,,0.0344086,0.0424708,1.06974,0.00837575,0.02,0.06,0.631202,0.0331111,,0.0487521,0.0638482,1.63894,0.0427795,0.142857,0.142857,0.86234,0.0462279,,0.0752166,0.0833064,0.773475,0.0752166,0,0,1.3108,0.0696194,,307,450,0.682222,2,2,4832.84,90,0.89497,4832.66,4831.94,35,,registry_meter,True,False,0.73047,0.365235
