run_id,scenario_id,level,plant,tier,truth_label,final_label,label_match,secondary_labels,flag_sensor,correct_flag_sensor,completed,wall_s,wall_clock_min_budget,evals_used,evals_budget,assay_units_used,assay_units_budget,n_calls,interval_method,approved,abstentions,fallbacks,tool_failures,error,recovery
run_1354d1f71117,S4-01,4,B,B,state,none,False,,,,True,5272.18,120.0,335,600,3,4,30,fisher,Y_ac+k_dec_X_ac,missing_transient+posterior_intervals,0,bayes_mcmc:not_converged,,Y_ac:0.504/1.000/out k_dec_X_ac:0.872/1.000/in
run_13ba3147ca82,S0-01,0,B,A,none,none,True,,,,True,4308.988,90.0,271,450,2,2,24,fisher,Y_ac+Y_h2,missing_transient+posterior_intervals,0,bayes_mcmc:not_converged,,Y_ac:0.500/1.000/out Y_h2:0.500/1.000/in
run_24e48d9e3907,S3-02,3,A,A,influent,state,False,,,,True,5823.203,120.0,233,600,3,4,24,fisher,k_m_ac+K_I_nh3,posterior_intervals,1,,,K_I_nh3:0.457/11.111/out k_m_ac:0.660/1.000/in
run_2e5a6407a4a8,S0-01,0,B,C,none,none,True,,,,True,4832.839,90.0,307,450,2,2,35,fisher,k_m_h2+Y_ac+k_m_pro+Y_h2,missing_transient+posterior_intervals,1,,,Y_ac:1.126/1.000/out Y_h2:1.427/1.000/in k_m_h2:0.809/1.000/in k_m_pro:1.108/1.000/out
run_514c6a3e4970,S3-03,3,A,A,influent,none,False,,,,True,6184.444,120.0,248,600,3,4,24,fisher,Y_ac+Y_h2,posterior_intervals,1,,,Y_ac:1.106/1.000/in Y_h2:0.519/1.000/out
run_9cedb0f88485,S3-01,3,A,A,influent,none,False,,,,True,6062.12,120.0,235,600,3,4,24,fisher,k_m_ac+K_I_nh3,posterior_intervals,1,,,K_I_nh3:0.913/11.111/out k_m_ac:0.476/1.000/in
run_9cfe5c728fb2,S2-01,2,B,B,sensor,none,False,,,ph,True,3986.271,90.0,251,450,2,2,28,fisher,Y_ac+k_dec_X_ac+Y_h2,missing_transient+posterior_intervals,1,,,Y_ac:0.836/1.000/in Y_h2:0.833/1.000/in k_dec_X_ac:0.780/1.000/in
run_b23978401022,S5-01,5,A,A,parameter,parameter,True,,,,True,6872.619,120.0,243,300,3,4,24,fisher,Y_ac+Y_h2,posterior_intervals,1,,,Y_ac:0.805/1.000/in Y_h2:1.500/1.000/out
run_b34ba6f1fdfd,S1-01,1,B,B,none,none,True,,,,True,4462.153,90.0,280,450,2,2,28,fisher,Y_ac+k_dec_X_ac+Y_h2,missing_transient+posterior_intervals,1,,,Y_ac:0.500/1.000/in Y_h2:0.500/1.000/in k_dec_X_ac:0.536/1.000/in
run_badfd19ad874,S3-01,3,C,B,influent,none,False,,,,True,5058.573,120.0,329,600,3,4,30,fisher,Y_ac+k_m_ac,missing_transient+posterior_intervals,0,bayes_mcmc:not_converged,,Y_ac:1.500/1.000/in k_m_ac:0.348/1.000/out
run_d233c4c46286,S0-01,0,B,B,none,none,True,,,,True,3785.319,90.0,235,450,2,2,28,fisher,Y_ac+k_dec_X_ac,missing_transient+posterior_intervals,1,,,Y_ac:1.052/1.000/in k_dec_X_ac:0.885/1.000/in
