scenario_id,plant,tier,workflow,n_runs,n_completed,level_n,level_mean,seed_n,seed_mean,replicate_n,replicate_mean,launched_n,launched_mean,completed_n,completed_mean,state_valid_n,state_valid_mean,returncode_n,returncode_mean,invalid_actions_n,invalid_actions_mean,budget_refusals_n,budget_refusals_mean,tool_errors_n,tool_errors_mean,injected_failures_n,injected_failures_mean,tool_failures_recorded_n,tool_failures_recorded_mean,verifier_rejections_n,verifier_rejections_mean,retries_n,retries_mean,fallbacks_n,fallbacks_mean,guards_tripped_n,guards_tripped_mean,steps_completed_n,steps_completed_mean,attribution_exact_n,attribution_exact_mean,attribution_partial_n,attribution_partial_mean,primary_in_truth_n,primary_in_truth_mean,drift_applicable_n,drift_applicable_mean,false_kinetic_drift_n,false_kinetic_drift_mean,kinetic_parameters_reported_n,kinetic_parameters_reported_mean,kinetic_update_offered_n,kinetic_update_offered_mean,abstention_applicable_n,abstention_applicable_mean,flag_sensor_correct_n,flag_sensor_correct_mean,claims_n,claims_mean,claims_unsupported_n,claims_unsupported_mean,unsupported_claim_rate_n,unsupported_claim_rate_mean,forecast_verified_n,forecast_verified_mean,ensemble_n,ensemble_mean,constraint_violations_n,constraint_violations_mean,balance_verified_n,balance_verified_mean,n_cod_inadmissible_n,n_cod_inadmissible_mean,recovery_scored_n,recovery_scored_mean,recovery_n_n,recovery_n_mean,recovery_mean_abs_error_n,recovery_mean_abs_error_mean,recovery_mean_rel_error_n,recovery_mean_rel_error_mean,recovery_coverage_n,recovery_coverage_mean,recovery_at_bound_n,recovery_at_bound_mean,q_gas_stp_dry_mae_n,q_gas_stp_dry_mae_mean,q_gas_stp_dry_rmse_n,q_gas_stp_dry_rmse_mean,q_gas_stp_dry_nrmse_n,q_gas_stp_dry_nrmse_mean,q_gas_stp_dry_bias_n,q_gas_stp_dry_bias_mean,q_gas_stp_dry_coverage_50_n,q_gas_stp_dry_coverage_50_mean,q_gas_stp_dry_coverage_90_n,q_gas_stp_dry_coverage_90_mean,q_gas_stp_dry_interval_score_90_n,q_gas_stp_dry_interval_score_90_mean,q_gas_stp_dry_crps_n,q_gas_stp_dry_crps_mean,pH_mae_n,pH_mae_mean,pH_rmse_n,pH_rmse_mean,pH_nrmse_n,pH_nrmse_mean,pH_bias_n,pH_bias_mean,pH_coverage_50_n,pH_coverage_50_mean,pH_coverage_90_n,pH_coverage_90_mean,pH_interval_score_90_n,pH_interval_score_90_mean,pH_crps_n,pH_crps_mean,simulator_evals_n,simulator_evals_mean,simulator_evals_budget_n,simulator_evals_budget_mean,simulator_evals_fraction_n,simulator_evals_fraction_mean,assay_units_n,assay_units_mean,assay_units_budget_n,assay_units_budget_mean,wall_clock_s_n,wall_clock_s_mean,wall_clock_budget_min_n,wall_clock_budget_min_mean,wall_clock_fraction_n,wall_clock_fraction_mean,log_span_s_n,log_span_s_mean,tool_runtime_s_n,tool_runtime_s_mean,n_calls_n,n_calls_mean,meter_agrees_with_summary_n,meter_agrees_with_summary_mean,self_report_mismatch_n,self_report_mismatch_mean,uncertainty_reduction_n,uncertainty_reduction_mean,uncertainty_reduction_per_assay_unit_n,uncertainty_reduction_per_assay_unit_mean,cod_closure_mean_n,cod_closure_mean_mean,cod_balance_error_n,cod_balance_error_mean,charge_drift_n,charge_drift_mean,charge_consistent_n,charge_consistent_mean,ch4_fraction_mae_n,ch4_fraction_mae_mean,ch4_fraction_rmse_n,ch4_fraction_rmse_mean,ch4_fraction_nrmse_n,ch4_fraction_nrmse_mean,ch4_fraction_bias_n,ch4_fraction_bias_mean,ch4_fraction_coverage_50_n,ch4_fraction_coverage_50_mean,ch4_fraction_coverage_90_n,ch4_fraction_coverage_90_mean,ch4_fraction_interval_score_90_n,ch4_fraction_interval_score_90_mean,ch4_fraction_crps_n,ch4_fraction_crps_mean,vfa_titrimetric_mae_n,vfa_titrimetric_mae_mean,vfa_titrimetric_rmse_n,vfa_titrimetric_rmse_mean,vfa_titrimetric_nrmse_n,vfa_titrimetric_nrmse_mean,vfa_titrimetric_bias_n,vfa_titrimetric_bias_mean,vfa_titrimetric_coverage_50_n,vfa_titrimetric_coverage_50_mean,vfa_titrimetric_coverage_90_n,vfa_titrimetric_coverage_90_mean,vfa_titrimetric_interval_score_90_n,vfa_titrimetric_interval_score_90_mean,vfa_titrimetric_crps_n,vfa_titrimetric_crps_mean,tan_mae_n,tan_mae_mean,tan_rmse_n,tan_rmse_mean,tan_nrmse_n,tan_nrmse_mean,tan_bias_n,tan_bias_mean,tan_coverage_50_n,tan_coverage_50_mean,tan_coverage_90_n,tan_coverage_90_mean,tan_interval_score_90_n,tan_interval_score_90_mean,tan_crps_n,tan_crps_mean,false_kinetic_update_n,false_kinetic_update_mean,abstention_correct_n,abstention_correct_mean,abstention_fraction_n,abstention_fraction_mean
S0-01,B,A,p0,1,1,1,0,1,1001,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,1,1,0,1,0,1,0,1,0,1,12,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,2,1,0.5,1,0.5,1,0.5,1,1,1,388.068,1,474.679,1,0.555094,1,-109.345,1,0.0212766,1,0.0425532,1,7267,1,376.352,1,0.067415,1,0.0732486,1,1.99263,1,0.0665798,1,0,1,0.0454545,1,1.20533,1,0.0647007,1,271,1,450,1,0.602222,1,2,1,2,1,4308.99,1,90,1,0.797961,1,4308.81,1,4308.13,1,24,1,1,1,0,1,0.466346,1,0.233173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0-01,B,B,p0,1,1,1,0,1,1001,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,11,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,4,1,0,1,0,1,1,1,1,1,0,1,1,1,2,1,1,1,2,1,0.0837004,1,0.0837004,1,1,1,0,1,381.319,1,471.668,1,0.548167,1,-166.188,1,0.02,1,0.02,1,6899.09,1,362.916,1,0.0360757,1,0.0449417,1,1.11917,1,0.014794,1,0.0625,1,0.0625,1,0.596073,1,0.0330805,1,235,1,450,1,0.522222,1,2,1,2,1,3785.32,1,90,1,0.700985,1,3785.14,1,3784.41,1,28,1,1,1,0,1,0,1,0,1,-0.100018,1,0.100018,1,0.225954,1,0,1,0.0137942,1,0.0167318,1,1.21411,1,-0.0124539,1,0.0425532,1,0.0851064,1,0.254836,1,0.0132849,1,0.0809532,1,0.0962598,1,2.47093,1,0.0809532,1,0.142857,1,0.285714,1,0.974719,1,0.0649587,1,0.117472,1,0.123629,1,1.14786,1,0.117472,1,0,1,0,1,1.56066,1,0.0988907,,,,,,
S0-01,B,C,p0,1,1,1,0,1,1001,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,1,11,1,1,1,1,1,1,1,1,1,0,1,2,1,1,1,0,1,1,1,2,1,0,1,0,1,1,1,1,1,0,1,1,1,2,1,1,1,4,1,0.212977,1,0.212977,1,0.5,1,0,1,385.129,1,479.06,1,0.55581,1,-202.022,1,0,1,0,1,7436.09,1,379.622,1,0.0344086,1,0.0424708,1,1.06974,1,0.00837575,1,0.02,1,0.06,1,0.631202,1,0.0331111,1,307,1,450,1,0.682222,1,2,1,2,1,4832.84,1,90,1,0.89497,1,4832.66,1,4831.94,1,35,1,1,1,0,1,0.73047,1,0.365235,1,-0.104039,1,0.104039,1,0.276379,1,0,1,0.0128189,1,0.0157367,1,1.14629,1,-0.0110492,1,0.0204082,1,0.0204082,1,0.251522,1,0.0126959,1,0.0487521,1,0.0638482,1,1.63894,1,0.0427795,1,0.142857,1,0.142857,1,0.86234,1,0.0462279,1,0.0752166,1,0.0833064,1,0.773475,1,0.0752166,1,0,1,0,1,1.3108,1,0.0696194,,,,,,
S0-01,C,C,p0,1,1,1,0,1,1001,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,11,1,0,1,0,1,0,1,1,1,0,1,4,1,0,1,0,1,0,1,5,1,0,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,4,1,0.130884,1,0.130884,1,0.25,1,0,1,155.38,1,191.841,1,0.552424,1,25.3457,1,0,1,0,1,3105.68,1,155.339,1,0.0765681,1,0.0882407,1,1.85192,1,-0.0765681,1,0,1,0,1,1.52733,1,0.0764766,1,272,1,450,1,0.604444,1,2,1,2,1,3928.14,1,90,1,0.727434,1,3927.96,1,3927.18,1,34,1,1,1,0,1,0.916034,1,0.458017,1,-0.0340436,1,0.0340436,1,0.617269,1,0,1,0.00946002,1,0.0128137,1,0.855548,1,-0.000188886,1,0.02,1,0.02,1,0.186802,1,0.00940727,1,0.0464198,1,0.0558802,1,0.856646,1,-0.02979,1,0,1,0,1,0.887298,1,0.045628,1,0.15689,1,0.178559,1,1.61655,1,-0.155317,1,0,1,0,1,3.13766,1,0.156886,,,,,,
S1-01,B,B,p0,1,1,1,1,1,1011,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,1,11,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,2,1,0,1,0,1,1,1,1,1,0,1,1,1,2,1,1,1,3,1,0.488106,1,0.488106,1,1,1,0.666667,1,353.275,1,479.18,1,0.305102,1,-296.992,1,0.0217391,1,0.0652174,1,6590.53,1,343.751,1,0.0616242,1,0.0765188,1,0.873614,1,-0.0190456,1,0.0217391,1,0.0652174,1,1.10058,1,0.0590115,1,280,1,450,1,0.622222,1,2,1,2,1,4462.15,1,90,1,0.826325,1,4461.97,1,4461.29,1,28,1,1,1,0,1,0.15562,1,0.0778098,1,-0.154043,1,0.154043,1,0.400544,1,0,1,0.0194838,1,0.0238469,1,0.999827,1,-0.0117561,1,0,1,0.04,1,0.350853,1,0.0187269,1,0.225633,1,0.289656,1,1.56831,1,0.0735204,1,0,1,0,1,3.98695,1,0.215644,1,0.0521448,1,0.0616825,1,0.738835,1,-0.0333805,1,0.166667,1,0.333333,1,0.818266,1,0.0465455,,,,,,
S2-01,A,A,p0,1,1,1,2,1,1021,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,2,1,2,1,11,1,0,1,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0,,,,,,,,,1,37.0658,1,52.5684,1,0.477575,1,-0.129699,,,,,,,,,1,0.450552,1,0.536354,1,1.81803,1,0.448001,,,,,,,,,1,173,1,450,1,0.384444,1,2,1,2,1,4487.85,1,90,1,0.831083,1,4487.67,1,4487.01,1,12,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,
S2-01,B,B,p0,1,1,1,2,1,1021,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,3,1,1,1,1,1,11,1,0,1,0,1,0,1,1,1,0,1,1,1,1,1,0,1,0,1,5,1,0,1,0,1,1,1,1,1,0,1,1,1,2,1,1,1,3,1,0.183952,1,0.183952,1,1,1,0,1,830.061,1,1098.63,1,0.83885,1,-773.559,1,0,1,0.0212766,1,16001.9,1,818.563,1,0.182711,1,0.202581,1,2.52996,1,0.182711,1,0,1,0.0204082,1,3.46981,1,0.178962,1,251,1,450,1,0.557778,1,2,1,2,1,3986.27,1,90,1,0.738198,1,3986.1,1,3985.25,1,28,1,1,1,0,1,0,1,0,1,-0.133676,1,0.133676,1,0.298339,1,0,1,0.0118222,1,0.0139234,1,0.790012,1,0.00861944,1,0.130435,1,0.152174,1,0.202845,1,0.0109769,1,0.105555,1,0.116124,1,1.35407,1,0.0961106,1,0.166667,1,0.166667,1,1.26836,1,0.0847473,1,0.136849,1,0.138686,1,4.32317,1,0.136849,1,0,1,0,1,2.10502,1,0.122865,1,1,,,,
S2-03,A,A,p0,1,1,1,2,1,1023,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,2,1,1,1,11,1,0,1,0,1,0,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0,,,,,,,,,1,102.493,1,129.55,1,0.913887,1,-95.7476,,,,,,,,,1,0.0472328,1,0.0614968,1,1.03056,1,0.0162722,,,,,,,,,1,173,1,450,1,0.384444,1,2,1,2,1,4554.8,1,90,1,0.843481,1,4554.62,1,4553.98,1,12,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,
S3-01,A,A,p0,1,1,1,3,1,1031,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,6,1,1,1,0,1,11,1,0,1,0,1,0,1,1,1,0,1,2,1,1,1,0,1,1,1,0,1,0,,,1,1,1,1,1,0,1,1,1,0,1,1,1,2,1,5.36089,1,0.720743,1,0.5,1,0,1,53.797,1,66.3547,1,0.62924,1,24.9399,1,0,1,0,1,1075.71,1,53.7913,1,0.0384565,1,0.0481415,1,1.19738,1,0.0295325,1,0,1,0,1,0.768897,1,0.0384513,1,235,1,600,1,0.391667,1,3,1,4,1,6062.12,1,120,1,0.841961,1,6061.94,1,6060.88,1,24,1,1,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,
S3-01,B,A,p0,1,1,1,3,1,1031,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,1,1,0,1,6,1,0,1,0,1,12,1,0,1,0,1,0,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,2,1,0.5,1,0.5,1,1,1,1,1,399.159,1,507.699,1,0.454628,1,182.867,1,0.0731707,1,0.0731707,1,7455.94,1,387.46,1,0.06828,1,0.0804694,1,1.33606,1,0.0505329,1,0.0681818,1,0.0681818,1,1.22424,1,0.0650714,1,265,1,600,1,0.441667,1,3,1,4,1,3610.08,1,120,1,0.501401,1,3609.91,1,3609.25,1,25,1,1,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,
